station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
SCM,6,1000,0.001,rbf,0.9504627734147219,0.009655244243880272,4,0.511436152458191
SCM,7,10,scale,rbf,0.9527046810833614,0.0076078337397328605,3,0.34830191135406496
SCM,7,10,0.01,rbf,0.950462153075024,0.010812414591993608,5,0.41302740573883057
SCM,7,10,0.001,rbf,0.935523752807037,0.012520058126543214,9,0.7628081321716309
SCM,7,100,scale,rbf,0.9531997121623803,0.008233027810660784,1,0.7707128524780273
SCM,7,100,0.01,rbf,0.950961526531929,0.008754526685793386,4,0.47612948417663575
SCM,7,100,0.001,rbf,0.9452351707795188,0.011504705644311,8,0.5470128536224366
SCM,7,1000,scale,rbf,0.9459783377377452,0.008043761515785635,7,3.105487418174744
SCM,7,1000,0.01,rbf,0.9529534373022669,0.009779325489266084,2,1.1435388803482056
SCM,7,1000,0.001,rbf,0.9492183719804966,0.009956356087045953,6,0.4853921175003052
SCM,8,10,scale,rbf,0.9512053200332502,0.010528538983545737,2,0.3831011295318604
SCM,8,10,0.01,rbf,0.9494627858215159,0.010092236768617086,5,0.3977519989013672
SCM,8,10,0.001,rbf,0.9322855795833798,0.00932267915507076,9,0.7471528053283691
SCM,8,100,scale,rbf,0.9517015917916651,0.008220110922199332,1,0.7818589687347413
SCM,8,100,0.01,rbf,0.9509540824555529,0.008136772404641559,3,0.45652222633361816
SCM,8,100,0.001,rbf,0.9437364300691058,0.00865300404272807,8,0.5669682741165161
SCM,8,1000,scale,rbf,0.9484627982283099,0.011385925600517606,6,2.9402689695358277
SCM,8,1000,0.01,rbf,0.9502090544782323,0.008272581530991746,4,1.077125573158264
SCM,8,1000,0.001,rbf,0.9464746094961599,0.009276408180369958,7,0.5305800199508667
SCM,9,10,scale,rbf,0.9524528231659659,0.007741346846993139,2,0.4028874397277832
SCM,9,10,0.01,rbf,0.9502102951576283,0.008977137139183088,5,0.4283459186553955
SCM,9,10,0.001,rbf,0.9345268669123211,0.01349860043837673,9,0.7969983577728271
SCM,9,100,scale,rbf,0.9514565576109476,0.009650969437570513,4,0.7638680696487427
SCM,9,100,0.01,rbf,0.9536966042604931,0.00772493152396018,1,0.553628396987915
SCM,9,100,0.001,rbf,0.946475229835858,0.010580351401783815,8,0.5521768569946289
SCM,9,1000,scale,rbf,0.9482233471048745,0.009477674172410591,7,3.2641845464706423
SCM,9,1000,0.01,rbf,0.9519528293693629,0.00713824868946136,3,1.1597284078598022
SCM,9,1000,0.001,rbf,0.948967134402799,0.009713540071130657,6,0.5314744710922241
SCM,10,10,scale,rbf,0.953195369784494,0.011250429524239516,3,0.4364133596420288
SCM,10,10,0.01,rbf,0.9502084341385345,0.010579288651197182,5,0.5068270921707153
SCM,10,10,0.001,rbf,0.9335274996588131,0.016161293888776206,9,0.8340831995010376
SCM,10,100,scale,rbf,0.9541885336410217,0.011931167581904484,1,0.8021000862121582
SCM,10,100,0.01,rbf,0.9526972370069849,0.009976455715732087,4,0.47323720455169677
SCM,10,100,0.001,rbf,0.9447314549447275,0.011084693198667001,8,0.5400013208389283
SCM,10,1000,scale,rbf,0.9489615513455171,0.010949211556659469,6,2.7478245973587034
SCM,10,1000,0.01,rbf,0.9534422649843055,0.009609560023353784,2,1.0423898458480836
SCM,10,1000,0.001,rbf,0.9484665202664981,0.010700093077429898,7,0.507232403755188
