station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
M23K,4,1329,148,0.9324324324324323,0.9391194438592796,0.9574468085106383,0.9207920792079208,0.8490566037735849,0.9,93,8,2,45,0.9322795625427204,100,scale,rbf,7.413746533999983
M23K,5,1329,148,0.918918918918919,0.9178428481145988,0.9148936170212766,0.9207920792079208,0.8431372549019608,0.8775510204081632,93,8,4,43,0.9397755753018912,1000,0.01,rbf,5.005707742999903
M23K,6,1329,148,0.945945945945946,0.943332631135454,0.9361702127659576,0.9504950495049505,0.8979591836734694,0.9166666666666666,96,5,3,44,0.9322624743677376,1000,0.01,rbf,3.0607077679999293
M23K,7,1329,148,0.8918918918918919,0.8809774594480725,0.851063829787234,0.9108910891089108,0.8163265306122449,0.8333333333333334,92,9,7,40,0.9390578719526088,10,scale,rbf,2.947597477000045
M23K,8,1330,147,0.9183673469387756,0.9118085106382978,0.8936170212765957,0.93,0.8571428571428571,0.875,93,7,5,42,0.9338345864661652,10,scale,rbf,3.0092814059999
M23K,9,1330,147,0.9591836734693876,0.9643617021276596,0.9787234042553192,0.95,0.9019607843137256,0.9387755102040816,95,5,1,46,0.930827067669173,1000,0.01,rbf,3.2841372440000214
M23K,10,1330,147,0.9319727891156464,0.9387234042553192,0.9574468085106383,0.92,0.8490566037735849,0.9,92,8,2,45,0.9315789473684212,1000,0.01,rbf,3.2028270779999275
SAW,1,4063,452,0.9535398230088497,0.9522970297029704,0.964,0.9405940594059404,0.9525691699604744,0.9582504970178928,190,12,9,241,0.946840391667978,1000,0.01,rbf,28.87804718200005
SAW,2,4063,452,0.9469026548672568,0.9481980198019802,0.936,0.9603960396039604,0.9669421487603306,0.951219512195122,194,8,16,234,0.9490583507824888,1000,0.01,rbf,27.20139498800017
SAW,3,4063,452,0.9424778761061948,0.9427722772277228,0.94,0.9455445544554456,0.9552845528455284,0.9475806451612904,191,11,15,235,0.9451192796020382,100,0.01,rbf,29.013994927999875
SAW,4,4063,452,0.9513274336283186,0.9498217821782178,0.964,0.9356435643564356,0.9488188976377953,0.9563492063492064,189,13,9,241,0.9458509337819684,1000,0.01,rbf,30.04553641299981
SAW,5,4063,452,0.9557522123893806,0.9533465346534652,0.976,0.9306930693069309,0.9457364341085271,0.9606299212598424,188,14,6,244,0.9461014754118204,1000,0.01,rbf,24.648183105000044
SAW,6,4064,451,0.9490022172949002,0.9496119402985076,0.944,0.9552238805970148,0.963265306122449,0.9535353535353536,192,9,14,236,0.9478407426683292,1000,0.01,rbf,24.64964172399982
SAW,7,4064,451,0.9578713968957872,0.9571752355958488,0.963855421686747,0.9504950495049505,0.96,0.9619238476953909,192,10,9,240,0.944391256460222,1000,0.01,rbf,25.26378689199987
SAW,8,4064,451,0.933481152993348,0.9318163744085252,0.9477911646586346,0.915841584158416,0.932806324110672,0.9402390438247012,185,17,13,236,0.9490547197443748,1000,0.01,rbf,25.82884173499997
SAW,9,4064,451,0.9290465631929048,0.9278003101514972,0.9397590361445785,0.915841584158416,0.9322709163346612,0.936,185,17,15,234,0.9500496241875552,1000,0.01,rbf,29.38845383900002
SAW,10,4064,451,0.9556541019955654,0.9551672034673346,0.9598393574297188,0.9504950495049505,0.9598393574297188,0.9598393574297188,192,10,10,239,0.9463538325607292,1000,0.01,rbf,23.936517386000105
SCM,1,4016,447,0.9574944071588368,0.9561849431130476,0.97119341563786,0.9411764705882352,0.9516129032258064,0.9613034623217924,192,12,7,236,0.9521873177752138,100,0.01,rbf,18.94624167300003
SCM,2,4016,447,0.9463087248322148,0.9435366739288308,0.9753086419753086,0.9117647058823528,0.9294117647058824,0.9518072289156626,186,18,6,237,0.952193521172194,100,0.01,rbf,17.18887649400017
SCM,3,4016,447,0.959731543624161,0.9570624546114742,0.9876543209876544,0.9264705882352942,0.9411764705882352,0.963855421686747,189,15,3,240,0.952189799134006,100,scale,rbf,17.28994271900001
SCM,4,4017,446,0.9394618834080718,0.9387682701858948,0.9465020576131687,0.9310344827586208,0.9426229508196722,0.944558521560575,189,14,13,230,0.9559310678527562,1000,0.01,rbf,16.471248596999885
SCM,5,4017,446,0.9596412556053812,0.9597194348152204,0.9588477366255144,0.9605911330049262,0.966804979253112,0.962809917355372,195,8,10,233,0.9524472401086834,1000,0.01,rbf,17.34032184700004
SCM,6,4017,446,0.9573991031390134,0.9568951547561172,0.962809917355372,0.9509803921568628,0.9588477366255144,0.9608247422680412,194,10,9,233,0.9527034404039652,10,scale,rbf,21.189165571999865
SCM,7,4017,446,0.9439461883408072,0.9418044077134986,0.9669421487603306,0.9166666666666666,0.9322709163346612,0.949290060851927,187,17,8,234,0.9531997121623804,100,scale,rbf,22.23698419600009
SCM,8,4017,446,0.9596412556053812,0.9593461351482742,0.962809917355372,0.9558823529411764,0.962809917355372,0.962809917355372,195,9,9,233,0.9517015917916652,100,scale,rbf,21.84489563700004
SCM,9,4017,446,0.9484304932735426,0.94709123318749,0.962809917355372,0.931372549019608,0.9433198380566802,0.952965235173824,190,14,9,233,0.9536966042604932,100,0.01,rbf,23.161503365000044
SCM,10,4017,446,0.9461883408071748,0.9457948468643655,0.950413223140496,0.9411764705882352,0.950413223140496,0.950413223140496,192,12,12,230,0.9541885336410216,100,scale,rbf,21.873255801999903
