station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
BAE,3,1000,scale,rbf,0.9198209718670076,0.0197364108448741,8,0.0480020761489868
BAE,3,1000,0.01,rbf,0.932928388746803,0.0300292329664467,4,0.046515417098999
BAE,3,1000,0.001,rbf,0.9329070758738276,0.0210335057835809,5,0.0274502754211425
BAE,4,10,scale,rbf,0.9374467178175616,0.0292136055988278,2,0.024416184425354
BAE,4,10,0.01,rbf,0.9286658141517476,0.0190029213612907,5,0.0223816871643066
BAE,4,10,0.001,rbf,0.8937979539641944,0.028101659487277,9,0.0338140964508056
BAE,4,100,scale,rbf,0.93307757885763,0.0299163203595148,4,0.0428297996520996
BAE,4,100,0.01,rbf,0.9373614663256606,0.0278151283233772,3,0.03926842212677
BAE,4,100,0.001,rbf,0.9242753623188408,0.0204887665985188,7,0.0396028995513916
BAE,4,1000,scale,rbf,0.9025575447570332,0.0316221273293666,8,0.0847641944885253
BAE,4,1000,0.01,rbf,0.944693094629156,0.025804115924285,1,0.0595914125442504
BAE,4,1000,0.001,rbf,0.9286445012787724,0.0191027555121507,6,0.0284899473190307
BAE,5,10,scale,rbf,0.924381926683717,0.0453588612248835,4,0.0251709938049316
BAE,5,10,0.01,rbf,0.9214194373401534,0.0381197937393177,6,0.0248074054718017
BAE,5,10,0.001,rbf,0.8996589940323954,0.0320115946551562,9,0.0333974361419677
BAE,5,100,scale,rbf,0.9272165387894288,0.0326400578557077,3,0.0370038270950317
BAE,5,100,0.01,rbf,0.9331202046035806,0.0385204222434914,1,0.0339067697525024
BAE,5,100,0.001,rbf,0.919927536231884,0.039308709724119,7,0.0281801700592041
BAE,5,1000,scale,rbf,0.9112531969309464,0.0313952725907691,8,0.0678010940551757
BAE,5,1000,0.01,rbf,0.930242966751918,0.0328460415413669,2,0.0643634796142578
BAE,5,1000,0.001,rbf,0.9243179880647912,0.0411122447030402,5,0.0277860641479492
BAE,6,10,scale,rbf,0.9388959931798804,0.0273112721146014,1,0.0256269454956054
BAE,6,10,0.01,rbf,0.934548167092924,0.0206869841947811,4,0.0280277490615844
BAE,6,10,0.001,rbf,0.8967178175618071,0.0217448131248377,9,0.0275416612625122
BAE,6,100,scale,rbf,0.9258098891730606,0.0374112806804318,6,0.0254616260528564
BAE,6,100,0.01,rbf,0.9374254049445864,0.0195724132255775,3,0.0207303047180175
BAE,6,100,0.001,rbf,0.9243606138107416,0.0201940905415239,7,0.0184252977371215
BAE,6,1000,scale,rbf,0.9083333333333334,0.0233401649895653,8,0.0394617795944213
BAE,6,1000,0.01,rbf,0.9374467178175616,0.0267853299106177,2,0.0350990533828735
BAE,6,1000,0.001,rbf,0.9301790281329924,0.0139950132856817,5,0.0195891857147216
BAE,7,10,scale,rbf,0.9417945439045182,0.0289987385802942,3,0.0199331045150756
BAE,7,10,0.01,rbf,0.9359761295822676,0.0385625443533508,5,0.0182051181793212
BAE,7,10,0.001,rbf,0.8966325660699063,0.0334133921274955,9,0.0244247436523437
BAE,7,100,scale,rbf,0.93885336743393,0.0232778043421536,4,0.0201276540756225
BAE,7,100,0.01,rbf,0.944693094629156,0.0303789193733048,1,0.0145165681838989
BAE,7,100,0.001,rbf,0.9286871270247228,0.0333497363940144,7,0.0169398784637451
BAE,7,1000,scale,rbf,0.904006820119352,0.0389719388430937,8,0.0319018125534057
BAE,7,1000,0.01,rbf,0.9432864450127876,0.0292470476257393,2,0.0486324071884155
BAE,7,1000,0.001,rbf,0.9359548167092924,0.0285102597337555,6,0.0275769472122192
BAE,8,10,scale,rbf,0.9388107416879794,0.0340163668288806,4,0.0158663511276245
BAE,8,10,0.01,rbf,0.932928388746803,0.0361897415512025,6,0.0161243200302124
BAE,8,10,0.001,rbf,0.8981244671781756,0.03971338061876,9,0.0276665449142456
BAE,8,100,scale,rbf,0.9475490196078432,0.0354157428135571,1,0.0222795248031616
BAE,8,100,0.01,rbf,0.9417092924126174,0.0335463875898132,3,0.020576786994934
BAE,8,100,0.001,rbf,0.927152600170503,0.0410441667621794,7,0.0175795555114746
BAE,8,1000,scale,rbf,0.905306905370844,0.0368129586851909,8,0.0398983716964721
